"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Basic Math","0","Basic math operations","1","0","Basic Division","0"
"0","Basic Math","0","Basic math operations","1","0","Basic Modulo","0"
"0","Complex Math","0","Advanced math operations","1","0","Complex Division","0"
"0","Math","0","Essential math operations","3","0","Basic Math pass","0"
"0","Complex Math","1","Advanced math operations","0","0","Complex Multiplication Fail","0"
"0","Complex Math","0","Advanced math operations","1","0","Complex Squaring","0"
"0","Math","2","Essential math operations","0","0","Basic Math Fail","0"
"0","Complex Math","1","Advanced math operations","0","0","Complex Division Fail","0"
"0","Complex Math","1","Advanced math operations","0","0","Complex Squaring Fail","0"
"0","Basic Math","0","Basic math operations","1","0","Basic Addition","0"
"0","Basic Math","0","Basic math operations","1","0","Basic Subtraction","0"
"0","Basic Math","1","Basic math operations","0","0","Basic Addition Fail","0"
"0","Math","0","Essential math operations","1","0","Basic Math happy","0"
"0","Complex Math","0","Advanced math operations","1","0","Complex Multiplication","0"
"0","Basic Math","0","Basic math operations","1","0","Basic Multiplication","0"
